Country,Country_Code,Year,Budget_Deficit_Surplus,Capital_Expenditure,Consumer_Price_Index_(CPI),Defence_Expenditure,Education_Expenditure,Expenditure,Exports,Food_Inflation_,Food_Inflation_YoY,GDP_Growth_Rate,GDP_per_Capita,GDP_per_Capita_,GDP_per_capita,Government_Debt,Health_Expenditure,Imports,Inflation_Rate,Inflation_Rate_,Interest_Rate,Labour_Force,Nominal_GDP,Population,Real_GDP,Revenue,Tax_Revenue,Unemployment_Rate,Value_Added_Tax_(VAT),Fiscal_Balance_Ratio,Debt_GDP_Ratio,Expenditure_Growth,Revenue_Growth,Revenue_Volatility,Fiscal_Gap,Debt_Growth,Trade_Balance,Deficit_Revenue_Ratio,Tax_GDP_Ratio,CapEx_Share,Health_Per_Capita
Algeria,DZA,1977.0,,,,,,,6.0,,,,,,,,,-6.21,,,,,,,,,,,,,,,,,,,12.21,,,,
Algeria,DZA,1978.0,,,,,,,6.3,,,,,,,,,-7.32,,,,,,,,,,,,,,,,,,,13.620000000000001,,,,
Algeria,DZA,1979.0,,,,,,,9.5,,,,,,,,,-7.82,,,,,,,,,,,,,,,,,,,17.32,,,,
Algeria,DZA,1980.0,,,,,,,13.7,,,,,,,,,-9.61,,,,,,,,,,,,,,,,,,,23.31,,,,
Algeria,DZA,1981.0,,,,,,,14.1,,,,,,,,,-10.11,,,,,,,,,,,,,,,,,,,24.21,,,,
Algeria,DZA,1982.0,,,,,,,13.5,,,,,,,,,-9.92,,,,,,,,,,,,,,,,,,,23.42,,,,
Algeria,DZA,1983.0,,,,,,,12.7,,,,,,,,,-9.54,,,,,,,,,,,,,,,,,,,22.24,,,,
Algeria,DZA,1984.0,,,,,,,12.8,,,,,,,,,-9.24,,,,,,,,,,,,,,,,,,,22.04,,,,
Algeria,DZA,1985.0,,,,,,,13.0,,,,,,,,,-8.81,,,,,,,,,,,,,,,,,,,21.810000000000002,,,,
Algeria,DZA,1986.0,,,,,,,8.1,,,,,,,,,-8.53,,,,,,,,,,,,,,,,,,,16.63,,,,
Algeria,DZA,1987.0,,,,,,,9.0,,,,,,,,,-7.27,,,,,,,,,,,,,,,,,,,16.27,,,,
Algeria,DZA,1988.0,,,,,,,7.6,,,,,,,,,-7.69,,,,,,,,,,,,,,,,,,,15.29,,,,
Algeria,DZA,1989.0,,,,,,,9.6,,,,,,,,,-9.47,,,,,,,,,,,,,,,,,,,19.07,,,,
Algeria,DZA,1990.0,,,,,,,12.9,,,,,,,,,-9.77,,,,,,,,,,,,,,,,,,,22.67,,,,
Algeria,DZA,1991.0,,,,,,,12.4,,,,,,,,,-7.77,,,,,,,,,,,,,,,,,,,20.17,,,,
Algeria,DZA,1992.0,,,,,,,11.5,,,,,,,,,-8.3,,,,,,,,,,,,,,,,,,,19.8,,,,
Algeria,DZA,1993.0,,,,,,,10.4,,,,,,,,,-7.99,,,,,,,,,,,,,,,,,,,18.39,,,,
Algeria,DZA,1994.0,,,,,,,8.9,,,,,,,,,-9.15,,,,,,,,,,,,,,,,,,,18.05,,,,
Algeria,DZA,1995.0,,,,,,,10.3,,,,,,,,,-10.1,,,,,,,,,,,,,,,,,,,20.4,,,,
Algeria,DZA,1996.0,,,,,,,13.2,,,,,,,,,-9.09,,,,,,,,,,,,,,,,,,,22.29,,,,
Algeria,DZA,1997.0,,,,,,,13.8,,,,,,,,,-8.13,,,,,,,,,,,,,,,,,,,21.93,,,,
Algeria,DZA,1998.0,,,,,,,10.1,,,,,,,,,-8.63,,,,,,,,,,,,,,,,,,,18.73,,,,
Algeria,DZA,1999.0,,,,,,,12.3,,,,,,,,,-8.96,,,,,,,,,,,,,,,,,,,21.26,,,,
Algeria,DZA,2000.0,,,,,,,21.7,,,,,,,,,-9.35,,,,,,,,,,,,,,,,,,,31.049999999999997,,,,
Algeria,DZA,2001.0,,,,,,,19.1,,,,,,,,,-9.48,,,,,1835042.8,,,,,,,,,,,,,,28.580000000000002,,,,
